Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2b22WnbcVOUe5eMII5Dh4H,"18G699wFEzXLGHsgsDZyYj,5rirdMf17gTWSFQI8koNSA",what am i gonna do,what am i gonna do,"Marcus Lee,Homeless Scholars",17/5/2024,198045,35,spotify:user:bandwagonapp,2024-05-17T05:43:10Z,singaporean singer-songwriter,0.494,0.69,0,-4.325,1,0.0285,0.0516,0,0.109,0.131,137.75,4
3DHjuag3mnQqCIxIrK4ing,40NI9ZKB9SZhfBD81Yv7pK,Down,Down,TENGY,17/5/2024,173333,31,spotify:user:bandwagonapp,2024-05-17T05:43:10Z,,0.58,0.615,4,-7.878,1,0.0442,0.148,0.000137,0.211,0.296,180.116,4
2olkQiOBNai6jtxU03w47a,"6xQvQwZQQuq9R3TdPNbcR8,6AtgLd3rwVPep5RSPWRQ1T,5ZvQPPwdcOmk7rXvPEnJwp",I Believe,I Believe,"Bassjackers,WUKONG,D Jayne",17/5/2024,163098,49,spotify:user:bandwagonapp,2024-05-17T05:43:10Z,"dutch house,edm,electro house,pop dance,progressive electro house,singaporean electronic",0.614,0.821,4,-4.724,0,0.0474,0.0527,0.0000501,0.278,0.47,141.989,4
3GGhDuH1CvIJbMy5qZvF00,3EPASK2OUUcDo6RgfnroTK,JEAN,JEAN,ICEBOX,17/5/2024,250285,23,spotify:user:bandwagonapp,2024-05-17T05:43:10Z,,0.499,0.409,10,-9.409,1,0.0537,0.795,0.000028,0.113,0.086,138.823,4
4wo9qxqcw3oGYosenGo5UA,3ygc1oTHrBtSgs8vDvx1Oo,NORTHSIDE,NORTHSIDE,AE$OP CA$H,15/5/2024,165389,21,spotify:user:bandwagonapp,2024-05-17T05:43:10Z,"singaporean hip hop,singaporean pop",0.688,0.408,1,-9.453,1,0.0842,0.0238,0,0.138,0.532,154.031,4
4GN1WsaRQna1M6xjh88OFa,"6dhwyJ9zxV1cstuPoRv06s,2Pa2Q2By2eVE6RT8SfgozN,3n3yF74Fn9FFxtlmSpO8cX",tell me the truth,tell me the truth,"Jelex,isaacprease,stvphn",17/5/2024,178000,23,spotify:user:bandwagonapp,2024-05-17T05:43:10Z,aesthetic rap,0.688,0.59,7,-6.331,1,0.0339,0.126,0,0.394,0.861,105.06,4
6R0b4W7A7cPFJrDQI7pXbf,7zh84sU4kvNPzoqUjFrE9E,If only I could,If only I could,ALICIA DC,17/5/2024,267000,20,spotify:user:bandwagonapp,2024-05-17T05:43:10Z,,0.354,0.203,8,-14.626,1,0.0435,0.867,0.0000403,0.374,0.118,81.291,4
4zX7T6dty9WFsreOONKf1W,0S6PVCIrYIIr2nmdaVTg3n,On the Run,KINTSUGI - (Grief),Chara Kai-Le,17/5/2024,182750,11,spotify:user:bandwagonapp,2024-05-17T05:43:10Z,,0.694,0.246,9,-15.447,0,0.0436,0.941,0.027,0.128,0.437,131.952,4
7ksMRKE4lNrTUuW8ZtrZ1U,01vhc9yt6KyqJ7a7g0NA3a,Surely,Surely,ziqqsayshello,13/5/2024,123402,4,spotify:user:bandwagonapp,2024-05-17T05:43:10Z,,0.523,0.0819,8,-19.466,1,0.038,0.955,0.0000118,0.184,0.326,135.819,5
5Y0vmCQMC9fZcniKumU4Dn,1mvjo1U4RVEab0pQRbyr0x,1950,1950,rae,17/5/2024,221441,20,spotify:user:bandwagonapp,2024-05-17T05:42:24Z,,0.51,0.567,7,-8.176,1,0.0321,0.186,0.0000681,0.119,0.394,170.207,4
02SNJOtKzcAlgW8AzUHWzC,6nSeeZSMwiD5fk8FJoNZW4,Take it Easy,Take it Easy,Man N' Machine,11/5/2024,280752,2,spotify:user:bandwagonapp,2024-05-17T05:43:10Z,,0.556,0.913,5,-10.878,0,0.0603,0.762,0.894,0.206,0.187,165.597,5
6EFncLJszMqRd6bOA0uOOv,6QYehwA9q6UQEMs1Vak0uy,EX YOU,EX YOU,Feng Ze,9/5/2024,174000,38,spotify:user:bandwagonapp,2024-05-10T02:57:55Z,"singaporean mandopop,singaporean singer-songwriter,taiwan pop",0.756,0.726,9,-4.175,0,0.0357,0.113,0,0.109,0.623,100.045,4
30ByJRZ3DY7XX0PdLglNaq,1SRpYy6lUdjsPA8UItAyTk,Overdrive,Overdrive,voxeaa,8/5/2024,202920,3,spotify:user:bandwagonapp,2024-05-10T02:57:55Z,,0.687,0.867,1,-5.726,0,0.0676,0.00897,0.605,0.144,0.496,128.055,4
2PyEVqNNmtbDIA81RYvp8D,"3vYlOrtxEjNzvUPhacOdoV,2qXGNIlmY3JrYkxOWyXZsd",BO BEH ZAO 没马跑,BO BEH ZAO 没马跑,"ShiGGa Shay,瘦子E.SO",8/5/2024,179166,39,spotify:user:bandwagonapp,2024-05-10T02:57:55Z,"singaporean hip hop,singaporean pop,chinese r&b,mandopop,taiwan hip hop",0.655,0.801,1,-4.239,1,0.182,0.12,0,0.106,0.34,143.925,4
4nKfx9XQHTM0i5acRpaONt,2zDF6PeSxBlLKma4IMAlLu,Komorebi,KOMOREBI,hongjoin,10/5/2024,290307,32,spotify:user:bandwagonapp,2024-05-10T02:57:55Z,,0.633,0.541,2,-8.419,1,0.03,0.0337,0.000217,0.209,0.238,80.01,4
5zQzgy1XxG6VKzqv9zBJnY,4rCtNYi7fb5vwXz7dxHVkY,March On,March On,Sky Shen 沈于翔,10/5/2024,204492,2,spotify:user:bandwagonapp,2024-05-10T02:57:55Z,,0.678,0.712,9,-8.834,1,0.0366,0.106,0,0.142,0.315,130.033,4
0a1LOBA5hAcnvPgqKGo16t,069FZPCzkfE0duPvgO50Xf,Maybe,Maybe,Jeron Pang,10/5/2024,187000,5,spotify:user:bandwagonapp,2024-05-10T02:57:55Z,,0.59,0.79,1,-5.094,1,0.0625,0.00253,0,0.439,0.456,119.998,4
3YzYjKHsjtSEfO3QYcFNnw,6nSeeZSMwiD5fk8FJoNZW4,Four on the Machine 001,Four on the Machine 001,Man N' Machine,5/5/2024,290667,0,spotify:user:bandwagonapp,2024-05-10T02:57:55Z,,0.932,0.297,6,-22.197,1,0.232,0.000476,0.954,0.0801,0.137,129.989,4
4dSnUf7H1mnTgasQH3v7oU,3qeuv2ijwaAcbX3KVMJfuj,Dari Jauh,Dari Jauh,ALYPH,2/5/2024,206936,50,spotify:user:bandwagonapp,2024-05-03T04:03:39Z,"malaysian hip hop,malaysian pop,singaporean hip hop",0.595,0.402,5,-7.461,0,0.0256,0.41,0.00000755,0.117,0.449,85.964,4
4Q6GXGl5DcW5w615iSiUjf,3Y7gOnKYWfQlEdgXag0Z6W,leftover feelings,leftover feelings,Regina Song,3/5/2024,323200,39,spotify:user:bandwagonapp,2024-05-03T04:03:39Z,bedroom r&b,0.38,0.317,8,-9.202,1,0.0356,0.868,0,0.0825,0.279,149.802,3
6tzipjEGEfKmAdJ9Uzfito,"6sGzLUKd2Er4uTZ8m2izVj,28dh27mbtc24Yy62PPpm8t",ASING,ASING,"Firwan Johan,Ki Zikry",2/5/2024,202660,22,spotify:user:bandwagonapp,2024-05-03T04:03:39Z,"singaporean hip hop,singaporean pop",0.431,0.578,3,-6.304,0,0.0644,0.53,0,0.115,0.393,94.872,4
1wF1Fiu7HrRBqWrhFfs6Fw,44DkJ4VKIXuLWfpyL9Tbps,Cope,Cope,Joel See,3/5/2024,194734,10,spotify:user:bandwagonapp,2024-05-03T04:03:39Z,,0.364,0.731,5,-8.042,0,0.139,0.489,0.193,0.11,0.104,94.473,1
65Ox4mJSZfdY7KsTCrDr4X,2FkruVc167pPQ7FYtjmPef,hard to find,Movements,Sun Cell,3/5/2024,173493,25,spotify:user:bandwagonapp,2024-05-03T04:03:39Z,,0.563,0.87,2,-4.718,1,0.0354,0.048,0.4,0.28,0.651,165.854,4
4juJw6XXVZNb25sJWCHk1Z,1eF3L2mTZO8nLUihnoA3Lb,stay,stay,emmarae,3/5/2024,230627,12,spotify:user:bandwagonapp,2024-05-03T04:03:39Z,,0.545,0.21,10,-18.894,1,0.0398,0.895,0.157,0.0982,0.109,80.002,3
0xpgLRE5cCKL8vnUeFiBYz,2sX71sKSY55XluACX5F4E6,she's coming alive,she's coming alive,Amelia Rae,1/5/2024,213000,16,spotify:user:bandwagonapp,2024-05-03T04:03:39Z,,0.694,0.213,8,-10.9,1,0.0448,0.859,0,0.362,0.459,119.974,3
2LzJtGwiFkyfCqXd01CUgQ,4vVSu7cUenoviGJ6LW8zZR,Garden,Garden,Amni Musfirah,26/4/2024,192440,12,spotify:user:bandwagonapp,2024-04-26T05:19:05Z,,0.548,0.556,1,-5.09,0,0.0334,0.207,0,0.188,0.169,144.663,4
2cLTQEPuI7NBteVD6fN9Kx,6QYehwA9q6UQEMs1Vak0uy,SEASONS,SEASONS,Feng Ze,25/4/2024,205161,38,spotify:user:bandwagonapp,2024-04-26T05:19:09Z,"singaporean mandopop,singaporean singer-songwriter,taiwan pop",0.794,0.707,0,-5.607,1,0.0365,0.228,0.00775,0.218,0.96,124.021,4
3JZmfYOhtnQVsBwXof3zPg,2XI2CpdL1MtHXIt0rxa7mS,feelin' low,feelin' low,Jean Seizure,26/4/2024,173217,31,spotify:user:bandwagonapp,2024-04-26T05:19:14Z,singaporean singer-songwriter,0.605,0.784,2,-7.251,1,0.0533,0.0924,0.00000569,0.373,0.467,115.019,4
4VJFOkdwi8nYRYLcmBnW8W,"65ZzuNL3HmtwhF9akIKXuJ,3mUSzVCF0uh8YuVH16vNJS",Too Late,Too Late,"YAØ,me-mai",26/4/2024,186400,44,spotify:user:bandwagonapp,2024-04-26T05:19:19Z,singaporean pop,0.649,0.578,11,-9.874,0,0.0568,0.405,0.00000892,0.119,0.813,149.951,4
0FdOJKtdMvsUMX8X6FvyQb,"0iQ4UvqTfRPoNioVeQLa0W,7qM9nMv6HFHFUpiN034R3z,3vYlOrtxEjNzvUPhacOdoV,67Ofry6ZPlecTnaGUS5tVR",Marabahaya XV,Marabahaya XV,"Pop Shuvit,SonaOne,ShiGGa Shay,TARVETHZ",26/4/2024,226956,39,spotify:user:bandwagonapp,2024-04-26T05:19:22Z,"malaysian hip hop,malaysian indie,malaysian pop,singaporean hip hop,singaporean pop,thai hip hop,thai trap",0.699,0.66,1,-5.637,0,0.104,0.219,0,0.258,0.675,91.988,4
6ner7QTRDbJU5tJG0u4emU,6Ol8MzcK4ARqC8cTJbFxAw,Awesome,Awesome,Sherman Zhuo,26/4/2024,167594,42,spotify:user:bandwagonapp,2024-04-26T05:19:32Z,chinese r&b,0.631,0.61,7,-6.553,1,0.0431,0.131,0,0.126,0.47,149.944,4
2UXtntl8l1yFpR3O24gRxx,"1fQk4DNRfj70qf362wV8GQ,5fhS2j2Yz5Wsg0vISg63hT,730kGJlZWMRyL6yHXyC3vb",STAY WITH ME,STAY WITH ME,"Dominic Chin,lamin,aeriqah",26/4/2024,218000,29,spotify:user:bandwagonapp,2024-04-26T05:19:37Z,singaporean electronic,0.703,0.63,4,-9.369,1,0.0487,0.203,0.000148,0.267,0.508,114.005,4
4dxWKp30sEHuY9dw4q8Bx3,3RJBI40xC4OmwA0ZG026Bb,safe space,safe space,Joy Alexis,26/4/2024,177049,7,spotify:user:bandwagonapp,2024-04-26T05:19:42Z,,0.603,0.494,6,-9.718,0,0.0769,0.757,0.00237,0.0978,0.357,121.851,4
